"",".","miRNA"
"hsa-mir-551b_hsa-miR-551b-3p",0.00299553706185551,"hsa-miR-551b-3p"
"hsa-mir-619_hsa-miR-619-5p",0.000317372606070947,"hsa-miR-619-5p"
"hsa-mir-665_hsa-miR-665",0.000809935273604371,"hsa-miR-665"
"hsa-mir-4433_hsa-miR-4433-5p",0.000370919131346179,"hsa-miR-4433-5p"
"hsa-mir-543_hsa-miR-543",0.00131371133809205,"hsa-miR-543"
"hsa-mir-4523_hsa-miR-4523",0.000696038152384282,"hsa-miR-4523"
"hsa-mir-23a_hsa-miR-23a-5p",0.000879614860639495,"hsa-miR-23a-5p"
"hsa-mir-493_hsa-miR-493-3p",0.00131287028061856,"hsa-miR-493-3p"
"hsa-mir-517a_hsa-miR-517a-3p",0.00199627438688797,"hsa-miR-517a-3p"
"hsa-mir-26a-1_hsa-miR-26a-5p",0.000173589835025745,"hsa-miR-26a-5p"
"hsa-let-7c_hsa-let-7c-5p",0.000354803122895457,"hsa-let-7c-5p"
"hsa-mir-337_hsa-miR-337-5p",0.000194744159254743,"hsa-miR-337-5p"
"hsa-mir-224_hsa-miR-224-5p",0.00135350982167021,"hsa-miR-224-5p"
"hsa-mir-208b_hsa-miR-208b-3p",0.000482455821551782,"hsa-miR-208b-3p"
"hsa-mir-5010_hsa-miR-5010-3p",0.000168950995867794,"hsa-miR-5010-3p"
"hsa-mir-26b_hsa-miR-26b-5p",0.00191395226076944,"hsa-miR-26b-5p"
"hsa-let-7b_hsa-let-7b-5p",0.000907739930689522,"hsa-let-7b-5p"
"hsa-mir-450b_hsa-miR-450b-5p",0.000105932723256256,"hsa-miR-450b-5p"
"hsa-mir-450a-1_hsa-miR-450a-5p",0.00283877295222144,"hsa-miR-450a-5p"
"hsa-mir-199b_hsa-miR-199b-5p",0.00219878917003065,"hsa-miR-199b-5p"
"hsa-mir-190b_hsa-miR-190b",0.00326929389032891,"hsa-miR-190b"
"hsa-mir-92b_hsa-miR-92b-3p",0.000589241184310321,"hsa-miR-92b-3p"
"hsa-mir-6513_hsa-miR-6513-5p",0.0010310619615429,"hsa-miR-6513-5p"
"hsa-mir-675_hsa-miR-675-5p",0.000953801130753566,"hsa-miR-675-5p"
"hsa-mir-132_hsa-miR-132-3p",0.000417431944336984,"hsa-miR-132-3p"
"hsa-let-7d_hsa-let-7d-5p",0.00168127305389237,"hsa-let-7d-5p"
"hsa-mir-628_hsa-miR-628-3p",0.000364934133008565,"hsa-miR-628-3p"
"hsa-mir-30e_hsa-miR-30e-3p",0.00204151553809957,"hsa-miR-30e-3p"
"hsa-mir-3960_hsa-miR-3960",0.00111471256170861,"hsa-miR-3960"
"hsa-mir-1273g_hsa-miR-1273g-3p",0.000830704363943038,"hsa-miR-1273g-3p"
"hsa-mir-1273h_hsa-miR-1273h-3p",0.002351522560269,"hsa-miR-1273h-3p"
"hsa-mir-642a_hsa-miR-642a-3p",0.0016161769941402,"hsa-miR-642a-3p"
"hsa-mir-590_hsa-miR-590-5p",0.00457781388103,"hsa-miR-590-5p"
"hsa-mir-31_hsa-miR-31-5p",0.000798439099289152,"hsa-miR-31-5p"
"hsa-mir-127_hsa-miR-127-3p",0.000921478056131353,"hsa-miR-127-3p"
"hsa-mir-642a_hsa-miR-642a-5p",0.00134308300104591,"hsa-miR-642a-5p"
"hsa-mir-3656_hsa-miR-3656",0.0015555627036009,"hsa-miR-3656"
"hsa-mir-421_hsa-miR-421",0.00406340467611971,"hsa-miR-421"
"hsa-mir-29a_hsa-miR-29a-3p",0.00175367995126357,"hsa-miR-29a-3p"
"hsa-mir-483_hsa-miR-483-3p",0.00278317144396698,"hsa-miR-483-3p"
"hsa-mir-885_hsa-miR-885-3p",0.00047027783871484,"hsa-miR-885-3p"
"hsa-mir-616_hsa-miR-616-5p",0.000965829617787224,"hsa-miR-616-5p"
"hsa-mir-25_hsa-miR-25-5p",0.00322391864661496,"hsa-miR-25-5p"
"hsa-mir-182_hsa-miR-182-3p",0.00169677710036106,"hsa-miR-182-3p"
"hsa-mir-128-1_hsa-miR-128-3p",0.000511303066482941,"hsa-miR-128-3p"
"hsa-mir-6089-1_hsa-miR-6089",0.00130108162940029,"hsa-miR-6089"
"hsa-mir-212_hsa-miR-212-5p",0.00255764563866131,"hsa-miR-212-5p"
"hsa-mir-7847_hsa-miR-7847-3p",0.00171282226782027,"hsa-miR-7847-3p"
"hsa-mir-204_hsa-miR-204-3p",1.50842831892599e-05,"hsa-miR-204-3p"
