"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","miRNA"
"hsa-mir-7850_hsa-miR-7850-5p",3.84970920312923,1.06471427932641,0.398734550438531,2.67023331225104,0.0075798557781939,0.188385564190028,"hsa-miR-7850-5p"
"hsa-mir-4746_hsa-miR-4746-5p",3.18589032840463,-0.83117675960251,0.376755148064838,-2.20614572586933,0.0273737979796496,0.272868970336825,"hsa-miR-4746-5p"
"hsa-mir-7-3_hsa-miR-7-5p",5069.63617275405,0.228313998382732,0.230765081841182,0.989378447385136,0.322478015415177,0.707098642943517,"hsa-miR-7-5p"
"hsa-mir-4747_hsa-miR-4747-5p",15.8921932786281,-0.255433612737739,0.348800262362967,-0.732320586593857,0.46397291691815,0.782471223253517,"hsa-miR-4747-5p"
"hsa-mir-6885_hsa-miR-6885-5p",8.99010573696447,-0.0461708022843832,0.298143180818192,-0.15486117159439,0.876930764871135,0.951870319341043,"hsa-miR-6885-5p"
"hsa-mir-6885_hsa-miR-6885-3p",5.98152459615514,-0.237602436235641,0.311092900015331,-0.763766824070661,0.445006210494988,0.771864579812816,"hsa-miR-6885-3p"
"hsa-mir-3940_hsa-miR-3940-3p",43.7659135994422,-0.0250173782137959,0.224058127161021,-0.111655749919828,0.911096366301748,0.965685262510544,"hsa-miR-3940-3p"
"hsa-mir-3940_hsa-miR-3940-5p",8.22031461070992,-0.270508296152951,0.374414861337421,-0.72248279672096,0.469997698443533,0.785288988539523,"hsa-miR-3940-5p"
"hsa-mir-6791_hsa-miR-6791-3p",2.46213927741939,-0.229517347038564,0.435613375095134,-0.526883149509447,0.598274736114439,0.851601310082013,"hsa-miR-6791-3p"
"hsa-mir-4999_hsa-miR-4999-5p",7.0724603366702,-0.4317629871986,0.358810562057849,-1.20331738486837,0.228853524069999,0.628959505058198,"hsa-miR-4999-5p"
"hsa-mir-4999_hsa-miR-4999-3p",2.85129198370303,0.0199495943071503,0.371227400423508,0.0537395523185821,0.957142670121864,0.986549723753336,"hsa-miR-4999-3p"
"hsa-mir-5589_hsa-miR-5589-5p",18.7809890587065,-0.812299909721552,0.435318196591386,-1.86599116710947,0.0620426012991483,0.400112694402815,"hsa-miR-5589-5p"
"hsa-mir-5589_hsa-miR-5589-3p",8.65186667576716,-1.01843495667444,0.449645008559446,-2.26497556358351,0.0235141791155716,0.267895169112517,"hsa-miR-5589-3p"
"hsa-mir-4748_hsa-miR-4748",3.49917149787705,0.116889367010573,0.371875729141081,0.314323731964308,0.753275175461217,0.901617356723464,"hsa-miR-4748"
"hsa-mir-199a-1_hsa-miR-199a-5p",353.651946667,0.170956034486403,0.192168432795593,0.889615593983885,0.373672330038575,0.726204734135417,"hsa-miR-199a-5p"
"hsa-mir-199a-1_hsa-miR-199a-3p",1068.97661094133,0.171623703492408,0.241235046849118,0.711437685916968,0.476813052744389,0.787996308219674,"hsa-miR-199a-3p"
"hsa-mir-6793_hsa-miR-6793-5p",3.67027134493657,0.324952348533689,0.352931018553115,0.920724820011208,0.35719411444302,0.726204734135417,"hsa-miR-6793-5p"
"hsa-mir-6793_hsa-miR-6793-3p",47.9539000013492,0.1759560486518,0.183868435647646,0.956967127239778,0.33858384739772,0.714724894674852,"hsa-miR-6793-3p"
"hsa-mir-6886_hsa-miR-6886-3p",2.10380818321447,-0.0892771587259746,0.412186260857375,-0.216594212869376,0.828524596147821,0.935628135498255,"hsa-miR-6886-3p"
"hsa-mir-5684_hsa-miR-5684",3.51089053866637,0.622763586050441,0.403784174896882,1.54231796283121,0.122996345984617,0.508195570144127,"hsa-miR-5684"
"hsa-mir-5695_hsa-miR-5695",17.1421055276232,-0.118646329069282,0.314048223507334,-0.377796529922136,0.705581751734659,0.8866837854725,"hsa-miR-5695"
"hsa-mir-6515_hsa-miR-6515-5p",10.2529304031537,0.0217212102919792,0.267628618792668,0.0811617621088817,0.93531330857244,0.974843034253956,"hsa-miR-6515-5p"
"hsa-mir-6515_hsa-miR-6515-3p",4.72228996764931,0.774316962819821,0.323918235451428,2.39047042763954,0.0168268041965092,0.239304191607189,"hsa-miR-6515-3p"
"hsa-mir-24-2_hsa-miR-24-3p",11720.6990152235,0.130239734478311,0.161203409348701,0.807921712105905,0.419135651439952,0.757459536990761,"hsa-miR-24-3p"
"hsa-mir-24-2_hsa-miR-24-2-5p",124.730459162512,0.112334776847867,0.199225039492783,0.563858725458738,0.57285028176831,0.843493498125436,"hsa-miR-24-2-5p"
"hsa-mir-27a_hsa-miR-27a-5p",29.4092724288145,0.396289264869614,0.272389345154253,1.45486331209173,0.145707106384871,0.544667040533924,"hsa-miR-27a-5p"
"hsa-mir-27a_hsa-miR-27a-3p",21084.4379623088,-0.197662209553743,0.222379628925913,-0.888850343479957,0.374083515452792,0.726204734135417,"hsa-miR-27a-3p"
"hsa-mir-23a_hsa-miR-23a-5p",112.61991489147,0.540027298976241,0.248989936643651,2.16887198838529,0.0300924039301488,0.287703387550345,"hsa-miR-23a-5p"
